ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
26623109,Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,"4532,3",Non
49425814,Homme,0,Oui,48,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,"111,8","5443,65",Non
54826448,Homme,0,Non,60,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,79,"4801,1",Non
22982692,Femme,0,Non,7,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,"59,1","369,25",Non
16661962,Femme,0,Non,42,Oui,DSL,Oui,Non,Annuel,Oui,Virement bancaire,"60,15","2421,6",Non
14101660,Homme,0,Oui,68,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,"70,8","4859,95",Non
59386983,Femme,0,Oui,72,Non,DSL,Oui,Oui,Bisannuel,Oui,Cheque electronique,"74,35","5237,4",Non
42474990,Femme,0,Oui,7,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,"29,8","201,95",Non
31633713,Homme,0,Non,44,Non,DSL,Oui,Non,Annuel,Non,Cheque electronique,"65,4","2774,55",Non
27223186,Femme,1,Non,1,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,"25,05","25,05",Oui
18172136,Femme,0,Non,56,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,"106,6","5893,95",Non
11261333,Homme,0,Non,69,Oui,Non,Oui,Non,Bisannuel,Non,Virement bancaire,"23,95","1713,1",Non
43585123,Femme,0,Oui,27,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,"49,85","1336,15",Non
17372043,Femme,1,Non,28,Oui,DSL,Oui,Non,Mensuel,Non,Virement bancaire,"64,45","1867,6",Non
35094119,Femme,0,Non,40,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,"74,8","2971,7",Non
36154237,Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Carte bancaire,"19,95","19,95",Non
304359,Homme,1,Non,27,Non,DSL,Non,Oui,Mensuel,Non,Carte bancaire,"30,75","805,1",Oui
18832212,Femme,0,Non,50,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque papier,"104,4","5232,9",Non
12921528,Homme,0,Oui,72,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,21,"1493,75",Non
7077,Femme,0,Non,46,Non,DSL,Oui,Non,Annuel,Non,Carte bancaire,"55,65","2688,85",Non
52716193,Femme,1,Non,18,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"74,7","1294,6",Non
13051543,Femme,0,Non,46,Non,Non,Oui,Non,Bisannuel,Oui,Cheque electronique,"21,1","937,1",Non
27653237,Homme,0,Non,16,Oui,DSL,Oui,Non,Mensuel,Non,Cheque electronique,"55,3","875,35",Non
33373914,Homme,0,Non,72,Oui,Non,Oui,Oui,Bisannuel,Non,Carte bancaire,"24,8","1874,3",Non
31393683,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"69,1","69,1",Oui
16541948,Femme,0,Non,70,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,"90,25","6385,95",Non
13401581,Femme,1,Non,21,Oui,DSL,Oui,Oui,Annuel,Non,Virement bancaire,"71,7","1497,05",Non
831977,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"69,9","69,9",Oui
41814912,Homme,1,Non,72,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,"84,8","6141,65",Non
14561716,Femme,0,Oui,46,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,"19,4","967,85",Non
27643236,Femme,0,Non,61,Non,DSL,Non,Non,Annuel,Non,Carte bancaire,"43,7","2696,55",Non
41104829,Femme,0,Non,39,Non,DSL,Non,Non,Mensuel,Non,Virement bancaire,"41,1","1597,05",Non
238279,Homme,0,Non,14,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,55,"771,95",Non
92102,Femme,0,Oui,1,Non,Non,Oui,Oui,Mensuel,Non,Cheque electronique,"19,45","19,45",Non
31983756,Homme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"76,05","318,9",Oui
47875630,Homme,1,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,"20,05","20,05",Oui
26033040,Homme,1,Non,72,Non,DSL,Non,Oui,Bisannuel,Oui,Carte bancaire,"64,45","4641,1",Non
21632538,Homme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,"113,4","8164,1",Non
25893026,Homme,0,Oui,67,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,"26,3","1688,9",Non
38354501,Homme,0,Oui,61,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,"103,9","6449,15",Non
34184008,Homme,0,Non,55,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,"25,7","1443,65",Non
10011180,Homme,1,Non,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"94,3","3953,15",Non
50465931,Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,"84,7","6185,15",Non
46875508,Femme,0,Non,28,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,"59,9","1654,7",Non
